primaryOfficeId,givenNames,familyName,role,mobile,username,email,password
CRVS_OFFICE_HOLY_TRINITY,Anika,Thomas,LOCAL_SYSTEM_ADMIN,+12685000001,athomas.ht,athomas.ht@opencrvs-atg.test,test
CRVS_OFFICE_HOLY_TRINITY,Darius,Henry,LOCAL_REGISTRAR,+12685000002,dhenry.ht,dhenry.ht@opencrvs-atg.test,test
CRVS_OFFICE_HOLY_TRINITY,Maya,Joseph,REGISTRATION_AGENT,+12685000003,mjoseph.ht,mjoseph.ht@opencrvs-atg.test,test
CRVS_OFFICE_HOLY_TRINITY,Eldon,Richards,SOCIAL_WORKER,+12685000004,erichards.ht,erichards.ht@opencrvs-atg.test,test
CRVS_OFFICE_HOLY_TRINITY,Grace,Samuel,LOCAL_LEADER,+12685000005,gsamuel.ht,gsamuel.ht@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_GEORGE,Anika,Thomas,LOCAL_SYSTEM_ADMIN,+12685000006,athomas.sg,athomas.sg@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_GEORGE,Darius,Henry,LOCAL_REGISTRAR,+12685000007,dhenry.sg,dhenry.sg@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_GEORGE,Maya,Joseph,REGISTRATION_AGENT,+12685000008,mjoseph.sg,mjoseph.sg@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_GEORGE,Eldon,Richards,SOCIAL_WORKER,+12685000009,erichards.sg,erichards.sg@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_GEORGE,Grace,Samuel,LOCAL_LEADER,+12685000010,gsamuel.sg,gsamuel.sg@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_JOHN,Anika,Thomas,LOCAL_SYSTEM_ADMIN,+12685000011,athomas.sj,athomas.sj@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_JOHN,Darius,Henry,LOCAL_REGISTRAR,+12685000012,dhenry.sj,dhenry.sj@opencrvs-atg.test,test
